assessment_id,training_id,participant_id,pre_knowledge,post_knowledge,pre_preparedness,post_preparedness,pre_confidence,post_confidence
b2ea2b20-1278-4b35-afb5-5fde9e84519e,de19a7b1-2638-4add-a39b-9224c3e48ea8,8fef3a42-66cd-41e6-b991-3d0d10883c87,68.11,89.76,43.0,62.83,65.74,91.26
825fcb40-c3ea-46dd-baf9-d4d3758ca40b,de19a7b1-2638-4add-a39b-9224c3e48ea8,f085b576-7f33-45f5-a9d9-de402d3a3a30,42.32,64.1,40.29,58.0,51.67,90.89
f34053cd-eb1a-49cf-8848-91e3b00a06a9,de19a7b1-2638-4add-a39b-9224c3e48ea8,c5013fc0-e24f-40b0-9f68-d8ccfbc1fd32,62.02,84.06,53.7,77.55,41.66,73.08
e42e389d-5d89-4020-84e2-21da6febc27c,de19a7b1-2638-4add-a39b-9224c3e48ea8,1ccb625b-3d6a-4598-93aa-d21dd0bd5abe,48.71,78.21,55.86,69.38,66.23,92.65
fd3ccd16-0353-4415-90c1-b8edabd6ccd0,de19a7b1-2638-4add-a39b-9224c3e48ea8,343a1f88-eedb-4c22-bdbb-2e135be5e0bc,40.16,57.04,69.36,93.95,55.79,80.09
262a0f5c-41f2-4f4a-99bb-0ce795cdcd68,de19a7b1-2638-4add-a39b-9224c3e48ea8,0c98cd79-ae97-4a3c-8d83-1fd31cc1f121,47.61,67.81,60.9,76.27,48.31,67.36
75df9564-247f-4c72-859c-570abe7fb0f9,de19a7b1-2638-4add-a39b-9224c3e48ea8,4f0b0a5f-c7a6-40c6-937c-ff78f687e13e,44.12,66.41,41.68,68.59,48.7,64.18
36d1f65d-1752-44bc-84c3-4fc5f64d459c,de19a7b1-2638-4add-a39b-9224c3e48ea8,4cfb8e70-fb3a-4a5b-9bbb-17a1abbebc37,58.19,80.55,66.41,81.31,42.11,66.39
7b9b14b5-1eba-4b54-b062-d7d118a8017e,de19a7b1-2638-4add-a39b-9224c3e48ea8,a504e65c-ab18-4a60-b132-1f3bf2e5c7f8,43.04,53.58,47.36,68.15,55.31,92.29
fe453fdb-5849-403c-8d2b-8c07fca83aa8,de19a7b1-2638-4add-a39b-9224c3e48ea8,c31c0252-9676-4c8d-9b11-10e4bf34d6eb,51.78,70.11,50.73,80.03,54.95,92.0
f5c838cb-1140-4736-97d0-230c2b562faa,de19a7b1-2638-4add-a39b-9224c3e48ea8,6f4e4e39-11ec-4751-baf3-2cf2b6068404,60.12,85.74,42.38,60.11,48.69,86.39
e45ba315-b8b5-45ad-8d08-84aa481e406d,de19a7b1-2638-4add-a39b-9224c3e48ea8,09bc6492-c96f-4949-bc8e-2e3dd66c2232,50.21,68.58,54.12,79.27,67.15,97.49
4e00a4c0-8027-43e3-90ca-9152c567f37b,de19a7b1-2638-4add-a39b-9224c3e48ea8,88d757e1-f390-47b2-86f4-859a0fb726c5,67.32,78.68,55.42,82.1,67.99,93.04
edbb45df-1542-466f-a595-b0e8e3be8b90,de19a7b1-2638-4add-a39b-9224c3e48ea8,da78c0ea-9430-40c1-9ebe-543ca3100d22,61.6,85.34,67.84,100,59.4,84.72
884c4bd5-569a-4bde-a2a7-3ba0e0fdb1aa,de19a7b1-2638-4add-a39b-9224c3e48ea8,9e022bda-a12f-4fd8-8968-d3b4c728cb94,45.1,70.85,45.39,62.45,49.97,77.55
9f194858-062f-4413-b3be-6192d39fa6d9,de19a7b1-2638-4add-a39b-9224c3e48ea8,58fc1733-f1ae-444a-bd3b-2f72799023ad,69.97,87.27,46.47,56.92,66.44,93.73
6c063caa-4197-4bc9-b710-0470fca810f9,de19a7b1-2638-4add-a39b-9224c3e48ea8,72550978-beaa-4cd7-9ed3-ef72c401cedd,53.26,81.58,54.76,71.56,65.55,94.46
882ada4a-36e6-4443-96d3-0cd9c3b533c8,de19a7b1-2638-4add-a39b-9224c3e48ea8,d97f789f-339a-4ff5-9ba4-a72f30c62a0d,47.26,74.09,66.98,87.01,67.51,93.03
caa1dbef-54ad-43fc-8347-6ab7a30eb6b4,de19a7b1-2638-4add-a39b-9224c3e48ea8,e0f27f51-f19e-4386-8ebd-617a26335a22,40.77,63.87,65.62,76.84,53.46,77.67
de940830-8da3-4d15-842b-510427853cff,de19a7b1-2638-4add-a39b-9224c3e48ea8,90bf4661-2dfe-4600-b4eb-705453c8cb38,64.31,83.42,48.4,68.51,66.86,95.87
de53feaf-121d-46ca-ad09-71c6c4bdd4cc,de19a7b1-2638-4add-a39b-9224c3e48ea8,4449b36e-2559-442e-b078-c7a99438a96b,63.75,78.4,61.87,88.84,53.56,73.51
8a8f60d2-02b7-4414-85f9-3228b8b9c7d7,de19a7b1-2638-4add-a39b-9224c3e48ea8,91876a45-14cb-45cc-89f8-0a0f417c2763,52.09,81.94,59.89,87.51,65.8,96.69
