district_id,name,state_id,lat,lon
1,Ludhiana,1,30.901,75.8573
2,Patiala,1,30.3398,76.3869
3,Amritsar,1,31.634,74.8723
4,Mohali,1,30.7046,76.7179
5,Jalandhar,1,31.326,75.5762
6,Guwahati,2,26.1445,91.7362
7,Silchar,2,24.8333,92.7789
8,Dibrugarh,2,27.4728,94.912
9,Jorhat,2,26.7509,94.2037
10,Bhubaneswar,3,20.2961,85.8245
11,Cuttack,3,20.4625,85.8828
12,Puri,3,19.8135,85.8312
13,Balasore,3,21.4934,86.9337
14,Thiruvananthapuram,4,8.5241,76.9366
15,Kochi,4,9.9312,76.2673
16,Kozhikode,4,11.2588,75.7804
17,Wayanad,4,11.6854,76.132
18,Mumbai,5,19.076,72.8777
19,Pune,5,18.5204,73.8567
20,Nagpur,5,21.1458,79.0882
21,Nashik,5,19.9975,73.7898
22,Shimla,6,31.1048,77.1734
23,Manali,6,32.2396,77.1887
24,Dharamshala,6,32.219,76.3234
25,Mandi,6,31.5892,76.9328
