impact_id,training_id,avg_improvement,participants_assessed
1d132059-809e-408b-a119-5a92854e8162,de19a7b1-2638-4add-a39b-9224c3e48ea8,20.78,25
25f18313-00b2-4b41-9552-65357c32ec86,94f65715-a767-4856-b05c-9bc4ba6be581,19.93,128
05965bd0-0e25-4b06-ac02-7c9ee683b8b1,cd8cc1fc-0c01-48f7-a31d-5e2d0bf75400,20.74,86
23f8c327-87aa-45ee-aab2-bfd816c9945a,30a7817e-2ab4-4e0e-8300-61d5c24c80cf,19.95,37
2405e482-e11a-4bed-9d70-f9bda7ab7c3f,0f095573-3045-443b-8de3-215cdee4365e,20.13,62
2cb7cd78-ac5c-4bcb-9b8f-d4aeadf9a8e2,4c83d9e8-8562-48a2-837f-bbd8f33aeb92,21.77,30
3ee8b4c1-bcb3-4aaa-be26-3de5a9a5455c,1abe5c1d-5a26-454b-b988-90303d099d7f,20.3,30
d2e59840-dc5d-48a9-8653-487109e146f8,8a2ef3c1-43a6-46f9-8e02-354bdc522281,20.3,94
74abfdc9-3303-428c-9457-f1baf9f1759b,9b839bc9-0944-49f6-8d28-96c182af085b,20.57,37
0cc04dd7-6f5b-4230-b05b-e70da9077241,7a5abb04-68aa-41d3-9884-917813426b49,19.65,116
571c9a06-16ef-4801-9ab7-476c46beb527,13b194fa-195d-4f66-9025-32827a2a896a,20.36,118
ad3dba54-3ead-4afb-83c2-3566ce86e716,af9e50d8-fa67-4d2f-bf01-a67a5c03aa28,19.13,109
dfc4d46c-c53a-4bbc-b0fc-6391e3b0710c,bc337608-3e72-4b60-a0a1-80c8d72058f1,19.06,35
fb4a7ed1-cc03-42ce-a1ad-b6fc6c4c72d8,c4522ea0-60f2-4c67-ad72-cc710066a203,19.31,52
57958e98-3279-4f2c-8553-76f779e16e3b,d43d0e6e-7909-4872-9ee2-63e9545bc6dd,17.21,25
76aedb81-5525-4ea4-8eed-a72e42644d65,221b8ac1-1091-4bc6-965e-430595030a09,20.06,42
